Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Tyranids,CWE,DG,Tau,Necrons,Sisters,GSC,Drukhari
1,11,11,1,6,10,10,3
7,12,10,7,7,7,11,11
6,10,8,6,7,2,16,11
13,14,10,1,6,3,16,6
5,13,9,7,14,7,18,9
3,6,6,0.0,2,7,9,0.0
13,8,13,6,13,3,14,12
1,7,14,0.0,7,7,18,8
