Patrick,Peter,Rasmus,Kjetil,Christopher,Jonathan,Sondre,Sveinung
Custodes,Deamons,Harlequins,IG,IH,Orks,WE,GSC
10,14,10,7,0.0,10,6,10
10,14,14,3,3,2,6,11
10,14,6,0.0,0.0,6,14,7
11,11,11,10,6,3,7,3
7,7,7,10,10,7,11,11
14,14,14,3,3,10,6,3
10,14,14,3,3,6,10,3
11,11,7,6,6,3,11,3
