Patrick,Peter,Rasmus,Kjetil,Christopher,Jonathan,Sondre,Sveinung
Custodes,Deamons,Harlequins,IG,IH,Orks,WE,GSC
10,12,10,11.5,7.5,10,8,10
10,12,12,9.5,9.5,6,8,13.5
10,12,8,7.5,7.5,8,12,11.5
13.5,13.5,13.5,10,8,9.5,11.5,9.5
11.5,11.5,11.5,10,10,11.5,13.5,13.5
12,12,12,9.5,9.5,10,8,9.5
10,12,12,9.5,9.5,8,10,9.5
13.5,13.5,11.5,8,8,9.5,13.5,9.5
