Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Sisters,BA,IK,AdMech,Tyranids,CK,Drukhari,CWE
10,19,16,14,7,13,11,13
17,14,20,17,9,20,18,16
7,12,14,19,15,10,18,14
12,13,11,19,8,15,15,15
11,10,12,14,7,14,11,15
13,10,10,11,3,9,12,6
13,12,17,16,6,16,16,13
13,17,12,14,15,13,17,14
