Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Sisters,BA,IK,AdMech,Tyranids,CK,Drukhari,CWE
0,1,2,4,1,3,1,3
3,4,2,3,3,2,4,2
5,2,4,5,5,4,4,4
2,3,1,1,2,1,1,1
1,0,2,0,1,4,1,1
3,4,4,1,1,3,2,0
3,2,3,2,0,2,2,3
3,3,2,4,5,3,3,4
