Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Sisters,BA,IK,AdMech,Tyranids,CK,Drukhari,CWE
10,13.5,11,8,7.5,8.5,9.5,8.5
10.5,8,13,10.5,6.5,13,10,11
3.5,9,8,9.5,7.5,6,10,8
9,8.5,9.5,13.5,7,11.5,11.5,11.5
9.5,10,9,12,7.5,8,9.5,11.5
8.5,6,6,9.5,5.5,6.5,9,8
8.5,9,10.5,11,8,11,11,8.5
8.5,10.5,9,8,7.5,8.5,10.5,8
