Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Tyranids,Sisters,TSons,CK,Necrons,CWE,GK,Tau
9,13,15,18,6,11,17,7
9,13,18,20,12,16,20,13
15,7,14,10,9,18,14,11
11,17,16,15,6,16,15,15
11,9,16,14,10,15,15,13
9,13,14,9,9,10,13,11
10,13,15,16,15,16,14,14
11,13,10,13,17,14,10,7
