Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Tyranids,Sisters,TSons,CK,Necrons,CWE,GK,Tau
3,3,5,4,0,1,3,5
3,3,4,2,2,2,3,3
5,5,4,4,3,4,4,5
1,3,2,1,0,2,1,5
1,3,2,4,0,1,1,3
3,3,4,3,3,4,3,5
0,3,1,2,1,2,0,4
5,3,4,3,3,4,4,5
