Patrick,Rasmus,Bjørn,Magnus,Kjetil,Mariusz,Petter,Sondre
Tyranids,Sisters,TSons,CK,Necrons,CWE,GK,Tau
3,7,5,10,6,9,11,0.0
3,7,10,16,8,12,15,7
5,0.0,6,2,3,10,6,1
9,11,12,13,6,12,13,5
9,3,12,6,10,13,13,7
3,7,6,3,3,2,7,1
10,7,13,12,13,12,14,6
1,7,2,7,11,6,2,0.0
